COHORTE,COLOMBIA GRANTEES - US UNIVERSITY,UNIVERSITY 1
2000,City college of new york of the city U. Of new york,U. Nal. De Col.
2000,Western illinois U.,U. Eafit-
2000,Western illinois U.,U. Eafit-
2000,Galena high school,U. La gran Col.
2000,Rutgers, the state U. Of new jersey,U. Autonoma del caribe- uniautonoma
2000,U. Of notre dame,U. De la sabana
2000,New york U.,U. De los andes
2000,Harvard U.,U. De los andes
2000,U. Of texas at austin,U. Javeriana
2000,New york U.,U. De los andes
2000,R.e. Jewell elementary,U. Pedagogica nal.
2000,Princeton U.,U. Externado de Col.
2000,Columbia U. In the city of new york,U. Eafit-
2000,Suny at binghamton,U. Nal. De Col.
2000,Suny at buffalo,U. De medellin
2000,Ohio state U.,Escuela de ingenieria de antioquia eia
2000,Massachusetts institute of technology,U. De los andes
2000,U. Of arkansas, fayetteville,U. Incca de Col.
2000,U. Of north carolina at chapel hill,U. Eafit-
2000,U. Of rochester,U.e federal do ceara
2000,U. Of illinois at chicago,U. Eafit-
2000,Southern illinois U. Carbondale,U. Industrial de std
2000,Iowa state U.,U. Javeriana
2000,Georgia institute of technology - main campus,U. Pontificia bolivariana
2000,Suny college of environmental science and forestry,U. Industrial de std
2000,U. Of kentucky,U. Eafit-
2000,U. Of pittsburgh - main campus,Fundacion U. De america
2000,135th st. School,U. Pedagogica nal.
2000,U. Of northern iowa,U. De nariño
2000,U. Of northern iowa,U. De nariño
2000,Gavilan view middle school,U. Del atlantico
2000,Air academy high school,U. De los andes
2000,U. Of pittsburgh - main campus,U. Javeriana
2000,Indiana U. Bloomington,U. Javeriana
2000,The new school,U. De los andes
2000,U. Of north texas,U. De san buenaventura
2000,U. Of maryland - college park,U. Pontificia bolivariana
2000,Ohio state U.,U. Nal. De Col.
2000,U. Of south carolina - columbia,Fundacion U. De bogota - jorge tadeo lozano
2001,Temple U.,U. De los andes
2001,Florida state U.,U. De los andes
2001,Yale U.,U. De los andes
2001,Georgia institute of technology - main campus,U. De los andes
2001,Columbia U. In the city of new york,U. Autonoma de bucaramanga-unab-
2001,Southern illinois U. Carbondale,U. Eafit-
2001,Michigan state U.,U. Pedagogica y tecnologica de Col. - uptc
2001,Cornell U.,U. Of british columbia
2001,Ohio U. - main campus,Colegio mayor de nuestra señora del rosario
2001,U. Of san diego,U. Pontificia bolivariana
2001,U. Of maryland - college park,Iowa state U.
2001,Amherst college,U. De la salle
2001,U. Of maryland - college park,U. Nal. De Col.
2001,Pennsylvania state U.,U. Eafit-
2001,U. Of pittsburgh - main campus,U. Javeriana
2001,U. Of california - los angeles,U. Pontificia bolivariana
2001,Ascot elementary school,U. De los andes
2001,Manhattan comprehensive night & day high school,U. Nal. De Col.
2001,Cabin john middle school,U. Del atlantico
2001,Frost middle school,U. Del valle
2001,Pearl river high school,U. Del valle
2001,Johns hopkins U.,U. Javeriana
2001,Suny stony brook,U. De los andes
2001,Fordham U.,U. De los andes
2001,Harvard U.,U. Pedagogica nal.
2001,U. Of minnesota - twin cities,U. De la sabana
2001,U. Of south florida,U. Nal. De Col.
2001,U. Of texas at austin,U. Del norte
2001,Georgia institute of technology - main campus,U. De los andes
2001,U. Of washington,U. Distrital-francisco jose de caldas
2001,U. Of pittsburgh - main campus,U. De los andes
2001,U. Of notre dame,U. Nal. De Col.
2001,U. Of illinois at urbana-champaign,U. De los andes
2001,U. Of texas at austin,U. Francisco de paula std
2001,Michigan state U.,U. Autonoma de occidente
2002,U. Of georgia,U. Nal. De Col.
2002,U. Of maryland - college park,U. De los andes
2002,U. Of maryland - college park,U. Eafit-
2002,Rutgers, the state U. Of new jersey,U. De los andes
2002,Washington state U.,U. Javeriana
2002,Columbia U. In the city of new york,U. De los andes
2002,Duke U.,U. De los andes
2002,Rutgers, the state U. Of new jersey,U. De los andes
2002,Suny at binghamton,Colegio mayor de nuestra señora del rosario
2002,Georgetown U.,U. De los andes
2002,Tulane U.,U. Pontificia bolivariana
2002,U. Of massachusetts amherst,U. Javeriana
2002,Syracuse U.,U. Javeriana
2002,U. Of chicago,U. De los andes
2002,U. Of pittsburgh - main campus,U. Nal. De Col.
2002,D'youville porter campus school # 3,U. Del valle
2002,Sierra high school,U. Incca de Col.
2002,Georgia institute of technology - main campus,U. Externado de Col.
2002,Ohio state U.,Escuela de ingenieria de antioquia eia
2002,Claremont graduate U.,Escuela de ingenieria de antioquia eia
2002,U. Of illinois at urbana-champaign,U. Javeriana
2002,U. Of missouri - columbia,U. Distrital-francisco jose de caldas
2002,Rutgers, the state U. Of new jersey,U. Nal. De Col.
2002,Yale U.,U. De los andes
2002,Indiana U. Bloomington,U. Eafit-
2002,Michigan technological U.,U. Del norte
2002,Ohio state U.,U. Nal. De Col.
2002,Hooper avenue school,U. Nal. De Col.
2002,Lakewood high school,U. Nal. De Col.
2002,U. Of illinois at urbana-champaign,U. Pontificia bolivariana
2002,Woodrow wilson elementary school,U. Del atlantico
2002,U. Of washington,U. Nal. De Col.
2002,Washington state U.,U. Nal. De Col.
2002,U. Of california, berkeley,U. Nal. De Col.
2002,U. Of cincinnati,U. Javeriana
2002,Georgia institute of technology - main campus,U. Eafit-
2002,U. Of illinois at chicago,U. Nal. De Col.
2002,U. Of alabama at birmingham,U. Javeriana
2002,U. Of dallas,U. Del norte
2002,U. Of arkansas, fayetteville,U. De los llanos
2002,North carolina state U.,U. De la salle
2003,U. Of texas at austin,Fundacion U. De bogota - jorge tadeo lozano
2003,Georgia institute of technology - main campus,U. Eafit-
2003,City college of new york of the city U. Of new york,U. Nal. De Col.
2003,North carolina state U.,U. Del valle
2003,U. Of illinois at chicago,U. De los andes
2003,U. Of pittsburgh - main campus,U. De los andes
2003,Columbia U. In the city of new york,U. Javeriana
2003,U. Of chicago,U. De los andes
2003,Pennsylvania state U.,U. De los andes
2003,Clark U.,U. De los andes
2003,Creekside high school,U. Nal. De Col.
2003,Dewitt central high school,U. Nal. De Col.
